headline,url,date
"Trump tariffs: Singapore to form task force to help businesses and workers, says PM Wong",https://www.channelnewsasia.com/singapore/singapore-task-force-monitor-impact-us-trump-tariffs-lawrence-wong-5050896,
"Trump tariffs: Workers’ Party calls for all options to be considered, including dispute settlement channels",https://www.channelnewsasia.com/singapore/trump-tariffs-workers-party-all-options-dispute-settlement-channels-5051681,
Watch: PM Lawrence Wong's ministerial statement on US tariffs and their implications for Singapore,https://www.channelnewsasia.com/singapore/watch-pm-lawrence-wong-ministerial-statement-trump-tariffs-5050571,
"New task force on US tariffs to focus on engaging businesses and workers, sharing information: Gan Kim Yong",https://www.channelnewsasia.com/singapore/singapore-new-task-force-trump-tariffs-focus-communication-information-sharing-gan-kim-yong-5051426,
"Eight complaints made against 'finfluencers' in 2025 so far, says MAS",https://www.channelnewsasia.com/singapore/finfluencers-chocolate-finance-instant-withdrawals-mas-parliament-5051611,
Tougher financial penalties to combat money laundering in property sector after new Bill passed,https://www.channelnewsasia.com/singapore/tougher-financial-penalties-money-laundering-property-sector-5051811,
Singapore government ‘sees no reason’ to amend presumptions in drugs law: Shanmugam,https://www.channelnewsasia.com/singapore/parliament-misuse-drugs-act-law-k-shanmugam-mha-trafficking-5051166,
"Mandatory CCTVs, rules on restraint use to be introduced at social residential homes",https://www.channelnewsasia.com/singapore/mandatory-cctvs-rules-restraint-use-be-introduced-social-residential-homes-msf-children-elderly-disabilities-singapore-5051586,
System cannot cater to interest of chain owners: Koh Poh Koon on complaint by Yishun hawker,https://www.channelnewsasia.com/singapore/yishun-hawker-stall-pregnant-wife-complaint-nea-private-chain-4989651,
Singapore to pilot scheme supporting 'exemplary' heritage businesses,https://www.channelnewsasia.com/singapore/singapore-pilot-scheme-supporting-exemplary-heritage-businesses-4989396,
MediSave withdrawal limits to be raised for some outpatient bills,https://www.channelnewsasia.com/singapore/medisave-withdrawal-limits-raised-outpatient-dental-bills-4984501,
"More subsidies, support for long-term care services for seniors from July 2026",https://www.channelnewsasia.com/singapore/increased-subsidies-seniors-long-term-care-caregiver-grants-mobility-assistance-careshield-life-4984631,
Jobseekers who want unemployment benefits must complete job search activities,https://www.channelnewsasia.com/singapore/jobseeker-support-payouts-job-search-activities-qualify-unemployment-benefits-4981356,
Half of graduates still unemployed six months after university had job offers: Gan Siow Huang,https://www.channelnewsasia.com/singapore/university-graduates-unemployed-jobs-4984301,
Desmond Lee rebuts Leong Mun Wai's claim that graduates are 'worse off' today in housing affordability,https://www.channelnewsasia.com/singapore/desmond-lee-rebuts-leong-mun-wais-claim-graduates-are-worse-today-housing-affordability-4984621,
Singapore studying global moves to keep public service media prominent amid digital shift,https://www.channelnewsasia.com/singapore/mainstream-media-sph-media-trust-cna-pritam-singh-josephine-teo-4984571,
Singapore to introduce initiatives to improve proficiency in AI use,https://www.channelnewsasia.com/singapore/ai-artificial-intelligence-new-initiatives-improve-proficiency-4984141,
Tripartite partners to study how senior workers can stay employed,https://www.channelnewsasia.com/singapore/older-senior-workers-employment-work-manpower-labour-force-participation-4981606,
"Up to S$1,500 monthly allowance for lower-wage workers who substantially upgrade skills",https://www.channelnewsasia.com/singapore/lower-wage-workers-manpower-workfare-diploma-degree-4983956,
Parliament reopens with swearing-in of MPs; Speaker Seah Kian Peng warns against 'playing to the gallery',https://www.channelnewsasia.com/singapore/parliament-opening-seah-kian-peng-speaker-swearing-in-mp-ncmp-pap-wp-5334361,
"Road closures, security checks for opening of parliament on Sep 5",https://www.channelnewsasia.com/singapore/road-closures-parliament-house-new-session-sep-5-5332106,
CNA Explains: What backbench MPs do in parliament,https://www.channelnewsasia.com/singapore/parliament-backbench-mp-questions-motions-cna-explains-5324151,
