source,headline,url,date,raw_text,names,policies
zaobao,中国,https://www.zaobao.com.sg/news/china,,"每日新闻速递，带给你最值得关注的时事与资讯
注册即表示我接受新报业媒体不时更新的 条规 及 隐私政策 。
是， 我希望收到新报业媒体 的市场宣传及营销信息。
新报业媒体总机
订阅热线
早报广告联系
新闻热线
MDDI (P) 044/10/2025, MDDI (P) 045/10/2025 新报业媒体有限公司版权所有（公司登记号：202120748H） 在中国的用户请游览 zaobao.com
提醒：新加坡网络业者若未经许可，擅自引用本网内容将面对法律行动。
第三方公司可能在早报网站宣传他们的产品或服务。不过您跟第三方公司的任何交易与早报网站无关，早报将不会对可能引起的任何损失负责。",,
zaobao,东南亚,https://www.zaobao.com.sg/news/sea,,"每日新闻速递，带给你最值得关注的时事与资讯
注册即表示我接受新报业媒体不时更新的 条规 及 隐私政策 。
是， 我希望收到新报业媒体 的市场宣传及营销信息。
新报业媒体总机
订阅热线
早报广告联系
新闻热线
MDDI (P) 044/10/2025, MDDI (P) 045/10/2025 新报业媒体有限公司版权所有（公司登记号：202120748H） 在中国的用户请游览 zaobao.com
提醒：新加坡网络业者若未经许可，擅自引用本网内容将面对法律行动。
第三方公司可能在早报网站宣传他们的产品或服务。不过您跟第三方公司的任何交易与早报网站无关，早报将不会对可能引起的任何损失负责。",,
zaobao,新加坡,https://www.zaobao.com.sg/news/singapore,,"每日新闻速递，带给你最值得关注的时事与资讯
注册即表示我接受新报业媒体不时更新的 条规 及 隐私政策 。
是， 我希望收到新报业媒体 的市场宣传及营销信息。
新报业媒体总机
订阅热线
早报广告联系
新闻热线
MDDI (P) 044/10/2025, MDDI (P) 045/10/2025 新报业媒体有限公司版权所有（公司登记号：202120748H） 在中国的用户请游览 zaobao.com
提醒：新加坡网络业者若未经许可，擅自引用本网内容将面对法律行动。
第三方公司可能在早报网站宣传他们的产品或服务。不过您跟第三方公司的任何交易与早报网站无关，早报将不会对可能引起的任何损失负责。",,
zaobao,体育,https://www.zaobao.com.sg/news/sports,,"每日新闻速递，带给你最值得关注的时事与资讯
注册即表示我接受新报业媒体不时更新的 条规 及 隐私政策 。
是， 我希望收到新报业媒体 的市场宣传及营销信息。
新报业媒体总机
订阅热线
早报广告联系
新闻热线
MDDI (P) 044/10/2025, MDDI (P) 045/10/2025 新报业媒体有限公司版权所有（公司登记号：202120748H） 在中国的用户请游览 zaobao.com
提醒：新加坡网络业者若未经许可，擅自引用本网内容将面对法律行动。
第三方公司可能在早报网站宣传他们的产品或服务。不过您跟第三方公司的任何交易与早报网站无关，早报将不会对可能引起的任何损失负责。",,
zaobao,国际,https://www.zaobao.com.sg/news/world,,"每日新闻速递，带给你最值得关注的时事与资讯
注册即表示我接受新报业媒体不时更新的 条规 及 隐私政策 。
是， 我希望收到新报业媒体 的市场宣传及营销信息。
新报业媒体总机
订阅热线
早报广告联系
新闻热线
MDDI (P) 044/10/2025, MDDI (P) 045/10/2025 新报业媒体有限公司版权所有（公司登记号：202120748H） 在中国的用户请游览 zaobao.com
提醒：新加坡网络业者若未经许可，擅自引用本网内容将面对法律行动。
第三方公司可能在早报网站宣传他们的产品或服务。不过您跟第三方公司的任何交易与早报网站无关，早报将不会对可能引起的任何损失负责。",,
zaobao,侯光辉接替云维德出任警察总监,https://www.zaobao.com.sg/realtime/singapore/story20260105-8054915,,"副警察总监（政策）侯光辉接替警察总监云维德，出任我国独立以来第九任警察总监。
交接仪式星期一（1月5日）下午5时30分在内政群英学院（Home Team Academy）举行。警察总监云维德（62岁）检阅警察仪仗部队后，把象征新加坡警察部队最高荣誉的淡马锡之剑交给副警察总监（政策）侯光辉（46岁）。侯光辉也将于星期二（6日）正式出任警察总监。
侯光辉是警察部队奖学金得主，1998年加入警察部队。他在警察部队和内政部担任过多个重要职务，其中包括副警察总监（调查与情报）、刑事侦查局局长、行动局局长，以及内政部总部政策发展司高级司长。
交接仪式原定在户外广场举行，但因半途出现闪电警报而改在室内礼堂举行。
云维德在仪式上致辞时说，卸任警察总监之际，令他感到欣慰的是，侯光辉将胜任领导警队的工作。“我有幸曾与侯光辉紧密共事，我深信他会以坚定的信念、过人的勇气以及仁爱之心，引领新加坡警察部队。”
云维德也向所有在他任期内付出辛劳的警员们致意，也感谢所有合作伙伴的支持。
侯光辉则通过警察部队文告指出，对于接过警察总监一职，他感到荣幸和谦卑。肩负起领导警队的重责，他承诺将竭诚为新加坡服务。“我期待与警员、合作伙伴及社区紧密合作，共同维护新加坡的安全与稳定。”
云维德在2015年1月6日出任警察总监，并将于2026年1月6日退休。他1987年加入警察部队，在警队服务的38年里担任过多个要职，其中包括副警察总监（调查与情报）、刑事侦查局局长和警察情报局局长。
超过2000名警察部队的警员和亲友们，以及海外警队代表出席了交接仪式。",,
zaobao,物业经理冒用公司名义接装修工程 收逾7万元赌博致工程烂尾监11个月,https://www.zaobao.com.sg/realtime/singapore/story20260105-8055479,,"装修公司Livspace物业经理冒用公司名义接装修工程，向五名客户收取逾7万元，仅向承包商支付1万元，其余款项被挪作赌博和个人消费，导致多项装修未完成甚至未开始，最终被判监禁11个月。
被告周文杰（46岁，译音）面对两项失信的控状，他于星期一（1月5日）承认其中一项，余项交由法官下判时一并纳入考量。
案情显示，2023年4月至2023年12月期间，被告在未经公司知情的情况下，以公司名义向五名客户承诺提供装修工程，要求客户直接将款项转入他的个人银行账户或通过PayNow他的电话号码付款。
五名客户共向被告转账7万4305元。
在所收取的款项中，被告向承包商支付约1万元，以进行部分装修工程。由于仅向承包商作出部分付款，四名客户单位的装修工程在开始后未能完成，另有一名客户单位的装修工程则完全未开始。
被告不诚实地将余下约6万4305元据为己有，他将这笔款项用于赌博和个人开销，至今未作出任何赔偿。此外，被告也涉及失信一名客户7684元。
2024年1月9日，公司人力资源经理向警方报案，法庭文件并未说明被告的罪行如何被揭发。
控方指出，被告在约八个月内多次犯案，不仅滥用公司业务经理的职务信任，他的行为也对多名受害者造成实质损害，因此建议法官判处11至12个月监禁。",,
zaobao,三巴旺通道组屋单位元旦失火 修复进展顺利,https://www.zaobao.com.sg/realtime/singapore/story20260105-8055949,,"三巴旺通道第462座组屋一个11楼单位 元旦下午失火 ，导致四人送院，90人紧急疏散。相关的修复工作进展顺利，目前还在紧锣密鼓地进行中。
三巴旺集选区脸书页面Sayang Sembawang星期一（1月5日）发文讲述了修复工作的最新进展。
根据贴文，受影响的走廊已经清洗完毕，主要水管也已更换。各个部门正在携手展开内部的清理工作，并为受影响居民提供支援。
“感谢居民的耐心与合作，我们会继续与相关机构合作，确保大家能享有一个安全和舒适的居住环境。”
《联合早报》早前报道，新加坡警察部队和新加坡民防部队抵达火场后，使用一支水枪灭火，并疏散约90名居民。四人因吸入浓烟须接受检查，其中三人过后送往新加坡中央医院，一人送往竹脚妇幼医院接受治疗。",,
zaobao,6岁男童在星耀樟宜步行网摔倒致鼻梁骨折 家长吁加强防护措施,https://www.zaobao.com.sg/realtime/singapore/story20260105-8056424,,"趁12月假期到星耀樟宜的游乐设施玩耍时出意外，6岁男孩不慎摔倒导致鼻骨粉碎性骨折，入院缝了30多针，恐会留下永久性伤疤。家长呼吁加强安全措施，避免事故重演。
这起事故发生在2025年12月10日，地点是星耀樟宜顶层星空花园（Canopy Park）的步行网（Walking Net）。
6岁男孩在近出口处小跑玩乐时不慎摔倒，鼻梁正撞步行网衔接出口木栈道的边缘，导致男孩鼻子出现一道极深的开放性伤口，鼻梁也粉碎性骨折。
男孩的父亲倪先生星期一（1月5日）接受《联合早报》访问时描述了事发经过。倪先生当天因工作繁忙无法陪同，由太太带着两名年龄分别为9岁和6岁的儿子到步行网游玩。
“小儿子当时在出口附近的斜坡玩，小朋友跑起来时，妻子还来不及阻拦就摔倒，鼻子磕到木栈道边缘。”
倪先生说，医护人员第一时间赶来，为儿子的伤口做应急处理，工作人员也提议到机场内的诊所进行进一步治疗。由于男孩伤势严重，他和太太认为应立即前往医院，因此婉拒机场方的提议，直接将孩子送往离机场最近的樟宜综合医院。
“樟宜医院的医生认为儿子需要专业的儿童医生处理，我们于是将他转到竹脚妇幼医院。”
医院为男孩安排隔天一早的全麻手术。骨科医生首先对粉碎性鼻梁骨折进行了复位与固定，再由整容医生对开放性伤口进行三层缝合，缝了超过30针。倪先生说，虽然医生尽量将创口减到最小，但仍会留下一道永久性伤疤。
“妻子事后十分自责，觉得自己如果能及时阻止儿子奔跑，他或许不会伤得这么重。”
倪先生认为，儿子在网面奔跑确实有过失，但如果木栈道边缘有防护措施，儿子也不会受这么重的伤。
“木栈道边缘是个直角，出口附近的步行网又是下坡，构成很大的安全隐患。步道边应该用较软的材料包裹，减轻摔倒时的伤害。”
星耀樟宜 受询时指出，步行网是一项需要在悬挂、拉紧且具有不同弧度的网面上保持平衡并行走的刺激型游乐设施。设施的安全规定上明文禁止在设施上奔跑；所有游客进入步行网前也须接受安全简报，工作人员也会重申不能奔跑和喧闹嬉戏的规定。
根据售票规定，家长应时刻陪同并监督使用设施的孩童，确保他们遵守安全规则。“驻守步行网的工作人员在这起不幸事故发生前，曾屡次提醒这组人不要奔跑。我们始终关心受伤孩童的情况，并已就此事与其家人取得联系。”
事故发生后，新加坡建设局（BCA）对步行网进行了额外审查，并再次确认设施符合所有监管要求。
BCA发言人受询时说，步行网被归类为游乐网（play net），并受《游乐设施安全法令》监管。这项法令要求运营方按照设计者或制造商所规定的程序来运营相关设施。
“BCA在事故发生后展开调查，确认步行网符合监管要求。这名孩童在网面上奔跑时失去平衡，导致他撞到木栈道。”
当局呼吁游客遵守现场张贴的安全指示与相关规定，并妥善看管儿童，以确保游玩过程安全愉快。",,
zaobao,30岁马国男子涉走私香烟被逮捕,https://www.zaobao.com.sg/realtime/singapore/story20260106-8057487,,"一名30岁马来西亚籍男子涉嫌走私150条漏税香烟入境新加坡，在大士关卡被逮捕。
新加坡移民与关卡局在脸书贴文说，2025年12月1日，移民局人员在大士关卡对一辆马来西亚注册的罗厘进行进一步搜查时，在驾驶室内发现150条漏税香烟。
驾驶罗厘的30岁马来西亚籍男子随后被捕，案件交由新加坡关税局进一步调查。",,
